Member,Order,SKU,Created On,Description
M09736,6468572,34993740,2014-09-22 22:45:00.287999887,Other Sauces
M09736,6468572,15669800,2014-09-22 22:45:00.287999887,Cashews
M09736,6468572,34989501,2014-09-22 22:45:00.287999887,Other Dals
M09736,6468572,7572303,2014-09-22 22:45:00.287999887,Namkeen
M09736,6468572,15669856,2014-09-22 22:45:00.287999887,Sugar
M09736,6468572,15668478,2014-09-22 22:45:00.287999887,Banana
M09736,6468572,21409124,2014-09-22 22:45:00.287999887,Sugar Cubes
M09736,6468572,34938526,2014-09-22 22:45:00.287999887,Other Sweets
M09736,6468572,15669778,2014-09-22 22:45:00.287999887,Other Dals
M09736,6468572,34989440,2014-09-22 22:45:00.287999887,Other Rice Products
M09736,6468572,15669830,2014-09-22 22:45:00.287999887,Other Rice Products
M09736,6468572,7569799,2014-09-22 22:45:00.287999887,Namkeen
M09736,6486475,34991046,2014-09-28 14:06:00.000000129,Utensil Scrub Pads
M09736,6486475,15669830,2014-09-28 14:06:00.000000129,Other Rice Products
M09736,6486475,15669878,2014-09-28 14:06:00.000000129,Toor Dal
M09736,6486475,34991191,2014-09-28 14:06:00.000000129,Buns & Pavs
M09736,6486475,7585573,2014-09-28 14:06:00.000000129,Cakes
M09736,6486475,34989501,2014-09-28 14:06:00.000000129,Other Dals
M09736,6486475,15669789,2014-09-28 14:06:00.000000129,Boiled Rice
M09736,6504964,15669767,2014-09-14 23:06:00.000000129,Urad Dal
M09736,6504964,15669789,2014-09-14 23:06:00.000000129,Boiled Rice
M09736,6504964,15669814,2014-09-14 23:06:00.000000129,Jaggery
M09736,6504964,15669778,2014-09-14 23:06:00.000000129,Other Dals
M09736,6504964,15669865,2014-09-14 23:06:00.000000129,Other Dals
M09736,6504964,15669965,2014-09-14 23:06:00.000000129,Raisins
M09736,6504964,34934493,2014-09-14 23:06:00.000000129,Chips
M09736,6504964,34989501,2014-09-14 23:06:00.000000129,Other Dals
M09736,6504964,15669811,2014-09-14 23:06:00.000000129,Almonds
M09736,6562518,15669830,2014-08-26 22:54:59.903999827,Other Rice Products
M09736,6562518,21409002,2014-08-26 22:54:59.903999827,Moong Dal
M09736,6562518,34993978,2014-08-26 22:54:59.903999827,Mosquito Repellent
M09736,6562518,34989440,2014-08-26 22:54:59.903999827,Other Rice Products
M09736,6562518,15669789,2014-08-26 22:54:59.903999827,Boiled Rice
M09736,6562518,15669778,2014-08-26 22:54:59.903999827,Other Dals
M09736,6562518,15669884,2014-08-26 22:54:59.903999827,Whole Spices
M09736,6562518,15669856,2014-08-26 22:54:59.903999827,Sugar
M09736,6562518,21409124,2014-08-26 22:54:59.903999827,Sugar Cubes
M09736,6562518,29247229,2014-08-26 22:54:59.903999827,Whole Spices
M09736,6562518,15669777,2014-08-26 22:54:59.903999827,Urad Dal
M09736,6562518,29247171,2014-08-26 22:54:59.903999827,Whole Spices
M09736,6562518,34989441,2014-08-26 22:54:59.903999827,Soya Products
M09736,6562518,15668467,2014-08-26 22:54:59.903999827,Beans
M09736,6562518,34989501,2014-08-26 22:54:59.903999827,Other Dals
M09736,6562518,15668379,2014-08-26 22:54:59.903999827,Other Vegetables
M09736,6596905,21409002,2014-08-17 22:50:00.096000172,Moong Dal
M09736,6596905,7572303,2014-08-17 22:50:00.096000172,Namkeen
M09736,6596905,15668685,2014-08-17 22:50:00.096000172,Beans
M09736,6596905,7753739,2014-08-17 22:50:00.096000172,Health Drinks
M09736,6596905,15668478,2014-08-17 22:50:00.096000172,Banana
M09736,6596905,7623116,2014-08-17 22:50:00.096000172,Liquid Soaps & Bars
M09736,6596905,21409124,2014-08-17 22:50:00.096000172,Sugar Cubes
M09736,6596905,15669859,2014-08-17 22:50:00.096000172,Toor Dal
M09736,6596905,92436826,2014-08-17 22:50:00.096000172,Washing Bars
M09736,6596905,15668377,2014-08-17 22:50:00.096000172,Root Vegetables
M09736,6596905,15669865,2014-08-17 22:50:00.096000172,Other Dals
M09736,6596905,15669789,2014-08-17 22:50:00.096000172,Boiled Rice
M09736,6596905,15669790,2014-08-17 22:50:00.096000172,Other Rice Products
M09736,6596905,34989440,2014-08-17 22:50:00.096000172,Other Rice Products
M09736,6612806,34994208,2014-08-22 19:21:59.616000190,Chips
M09736,6612806,7572303,2014-08-22 19:21:59.616000190,Namkeen
M09736,6612806,7561691,2014-08-22 19:21:59.616000190,Namkeen
M09736,6612806,15668375,2014-08-22 19:21:59.616000190,Root Vegetables
M09736,6612806,15669856,2014-08-22 19:21:59.616000190,Sugar
M09736,6612806,7569799,2014-08-22 19:21:59.616000190,Namkeen
M09736,6612806,7624788,2014-08-22 19:21:59.616000190,Ghee
M09736,6612806,15668478,2014-08-22 19:21:59.616000190,Banana
M09736,6612806,92388181,2014-08-22 19:21:59.616000190,Healthy Snacks
M09736,6656240,15669965,2014-07-28 18:20:59.712000241,Raisins
M09736,6656240,7570594,2014-07-28 18:20:59.712000241,Shoe Polish
M09736,6656240,15668478,2014-07-28 18:20:59.712000241,Banana
M09736,6656240,7572303,2014-07-28 18:20:59.712000241,Namkeen
M09736,6656240,15669970,2014-07-28 18:20:59.712000241,Cashews
M09736,6656240,15668381,2014-07-28 18:20:59.712000241,Other Vegetables
M09736,6656240,15668685,2014-07-28 18:20:59.712000241,Beans
M09736,6656240,7623116,2014-07-28 18:20:59.712000241,Liquid Soaps & Bars
M09736,6656240,15669884,2014-07-28 18:20:59.712000241,Whole Spices
