Member,Order,SKU,Created On,Description
M09736,6468572.0,34993740.0,41904.94792,Other Sauces
M09736,,15669800.0,41904.94792,Cashews
,6468572.0,34989501.0,41904.94792,Other Dals
M09736,6468572.0,7572303.0,41904.94792,Namkeen
M09736,6468572.0,15669856.0,41904.94792,Sugar
M09736,6468572.0,15668478.0,41904.94792,
M09736,6468572.0,,41904.94792,Sugar Cubes
M09736,6468572.0,,41904.94792,Other Sweets
M09736,6468572.0,,41904.94792,Other Dals
M09736,6468572.0,34989440.0,41904.94792,Other Rice Products
M09736,6468572.0,15669830.0,41904.94792,Other Rice Products
M09736,,7569799.0,,Namkeen
M09736,6486475.0,34991046.0,41910.5875,Utensil Scrub Pads
M09736,6486475.0,15669830.0,,Other Rice Products
M09736,6486475.0,,41910.5875,Toor Dal
M09736,6486475.0,,41910.5875,Buns & Pavs
M09736,6486475.0,7585573.0,,Cakes
M09736,6486475.0,34989501.0,41910.5875,Other Dals
M09736,6486475.0,15669789.0,41910.5875,Boiled Rice
M09736,6504964.0,15669767.0,,Urad Dal
,6504964.0,15669789.0,41896.9625,Boiled Rice
M09736,6504964.0,15669814.0,41896.9625,
M09736,6504964.0,15669778.0,41896.9625,Other Dals
M09736,6504964.0,15669865.0,41896.9625,Other Dals
M09736,6504964.0,15669965.0,41896.9625,Raisins
M09736,6504964.0,34934493.0,,Chips
M09736,6504964.0,34989501.0,41896.9625,Other Dals
M09736,6504964.0,15669811.0,41896.9625,Almonds
M09736,6529569.0,15669780.0,09/04/14 22:56,Sugar
,6529569.0,15669814.0,,Jaggery
M09736,6529569.0,15668465.0,09/04/14 22:56,Root Vegetables
M09736,6529569.0,7585573.0,09/04/14 22:56,Cakes
M09736,6529569.0,15669767.0,09/04/14 22:56,
M09736,6529569.0,7572303.0,,Namkeen
M09736,,15668381.0,09/04/14 22:56,Other Vegetables
M09736,6529569.0,15669869.0,09/04/14 22:56,Moong Dal
M09736,6529569.0,15668478.0,09/04/14 22:56,Banana
M09736,6529569.0,15669865.0,09/04/14 22:56,Other Dals
,6529569.0,15669965.0,09/04/14 22:56,Raisins
M09736,6529569.0,15669878.0,09/04/14 22:56,Toor Dal
M09736,,15669800.0,09/04/14 22:56,Cashews
,6529569.0,15669804.0,,Cashews
M09736,6529569.0,92388181.0,09/04/14 22:56,Healthy Snacks
M09736,6549521.0,15668478.0,09/09/14 23:10,Banana
M09736,6549521.0,,09/09/14 23:10,Cashews
