Member,Order,SKU,Created On,Description,Day,Month,Year,Hour
M09736,6529569,15669780,2014-09-04 22:56:00,Sugar,4,9,2014,22
M09736,6529569,15669814,2014-09-04 22:56:00,Jaggery,4,9,2014,22
M09736,6529569,15668465,2014-09-04 22:56:00,Root Vegetables,4,9,2014,22
M09736,6529569,7585573,2014-09-04 22:56:00,Cakes,4,9,2014,22
M09736,6529569,15669767,2014-09-04 22:56:00,Urad Dal,4,9,2014,22
M09736,6529569,7572303,2014-09-04 22:56:00,Namkeen,4,9,2014,22
M09736,6529569,15668381,2014-09-04 22:56:00,Other Vegetables,4,9,2014,22
M09736,6529569,15669869,2014-09-04 22:56:00,Moong Dal,4,9,2014,22
M09736,6529569,15668478,2014-09-04 22:56:00,Banana,4,9,2014,22
M09736,6529569,15669865,2014-09-04 22:56:00,Other Dals,4,9,2014,22
M09736,6529569,15669965,2014-09-04 22:56:00,Raisins,4,9,2014,22
M09736,6529569,15669878,2014-09-04 22:56:00,Toor Dal,4,9,2014,22
M09736,6529569,15669800,2014-09-04 22:56:00,Cashews,4,9,2014,22
M09736,6529569,15669804,2014-09-04 22:56:00,Cashews,4,9,2014,22
M09736,6529569,92388181,2014-09-04 22:56:00,Healthy Snacks,4,9,2014,22
M09736,6549521,15668478,2014-09-09 23:10:00,Banana,9,9,2014,23
M09736,6549521,15669800,2014-09-09 23:10:00,Cashews,9,9,2014,23
M09736,6549521,34989440,2014-09-09 23:10:00,Other Rice Products,9,9,2014,23
M09736,6549521,15669972,2014-09-09 23:10:00,Cashews,9,9,2014,23
M09736,6549521,15669803,2014-09-09 23:10:00,Cashews,9,9,2014,23
M09736,6549521,15669861,2014-09-09 23:10:00,Raw Peanuts,9,9,2014,23
M09736,6549521,21409124,2014-09-09 23:10:00,Sugar Cubes,9,9,2014,23
M09736,6624000,15670245,2014-08-06 08:14:00,Organic F&V,6,8,2014,8
M09736,6624000,7580802,2014-08-06 08:14:00,Sunflower Oils,6,8,2014,8
M09736,6624000,34989440,2014-08-06 08:14:00,Other Rice Products,6,8,2014,8
M09736,6624000,7572303,2014-08-06 08:14:00,Namkeen,6,8,2014,8
M09736,6624000,15668478,2014-08-06 08:14:00,Banana,6,8,2014,8
M09736,6624000,21409124,2014-08-06 08:14:00,Sugar Cubes,6,8,2014,8
M09736,6638454,15669830,2014-08-10 09:40:00,Other Rice Products,10,8,2014,9
M09736,6638454,7572303,2014-08-10 09:40:00,Namkeen,10,8,2014,9
M09736,6638454,15668688,2014-08-10 09:40:00,Root Vegetables,10,8,2014,9
M09736,6638454,15668685,2014-08-10 09:40:00,Beans,10,8,2014,9
M09736,6638454,15669856,2014-08-10 09:40:00,Sugar,10,8,2014,9
M09736,6638454,15669789,2014-08-10 09:40:00,Boiled Rice,10,8,2014,9
M09736,6638454,15668478,2014-08-10 09:40:00,Banana,10,8,2014,9
M09736,6638454,15669767,2014-08-10 09:40:00,Urad Dal,10,8,2014,9
M09736,6672349,15669856,2014-08-01 22:42:00,Sugar,1,8,2014,22
M09736,6672349,34989501,2014-08-01 22:42:00,Other Dals,1,8,2014,22
M09736,6672349,34987568,2014-08-01 22:42:00,Whole Spices,1,8,2014,22
